plantCombinationName;;plantCombinationRank;plantCombinationList
Spartinion maritimae;Conard 1952;VRB;      Spartinion maritimae
Spartinetum anglicae;Corillion 1953;ASS;        Spartinetum anglicae
Ammophiletea;Br.-Bl. et Tx. ex Westhoff et al. 1946;KLA;  Ammophiletea
Ammophiletalia;Br.-Bl. 1933;ORD;    Ammophiletalia
Ammophilion;Br.-Bl. 1933;VRB;      Ammophilion
Elymo-Agropyretum juncei;Br.-Bl. et De Leeuw 1936;ASS;        Elymo-Agropyretum juncei
Elymo-Ammophiletum;Br.-Bl. et De Leeuw 1936;ASS;        Elymo-Ammophiletum
Juncetea maritimi;Tx. et Oberd. 1958;KLA;  Juncetea maritimi
Glauco-Puccinellietalia;Beeftink et Westhoff in Beeftink 1965;ORD;    Glauco-Puccinellietalia
Puccinellion maritimae;Christiansen 1927;VRB;      Puccinellion maritimae
Puccinellietum maritimae;Christiansen 1927;ASS;        Puccinellietum maritimae
Halimionetum portulacoidis;Kuhnholtz-Lordat 1927;ASS;        Halimionetum portulacoidis
Spergulario-Puccinellietum distantis;Feekes (1934) 1943;ASS;        Spergulario-Puccinellietum distantis
Puccinellietum retroflexae;(Almquist 1929) Beeftink 1965;ASS;        Puccinellietum retroflexae
Armerion maritimae;Br.-Bl. et De Leeuw 1936;VRB;      Armerion maritimae
Armerion maritimae-Basalgesellschaft;;ASS;        Armerion maritimae-Basalgesellschaft
Ononis spinosa-Carex distans-Gesellschaft;;ZEH;          Ononis spinosa-Carex distans-Gesellschaft
Festuca rubra ssp. litoralis-Gesellschaft;;ZEH;          Festuca rubra ssp. litoralis-Gesellschaft
Hordeum secalinum-Gesellschaft;;ZEH;          Hordeum secalinum-Gesellschaft
Juncetum gerardii;Nordhagen 1923 nom. conserv. propos.;ASS;        Juncetum gerardii
Junco-Caricetum extensae;Br.-Bl. et De Leeuw 1936;ZEH;          Junco-Caricetum extensae
Artemisietum maritimae;Br.-Bl. et De Leeuw 1936;ASS;        Artemisietum maritimae
Blysmetum rufi;G.E. et G. Du Rietz 1925 nom. conserv. propos.;ASS;        Blysmetum rufi
Oenantho-Juncetum maritimi;Tx. 1937;ASS;        Oenantho-Juncetum maritimi
Agropyretum littoralis;Br.-Bl. et De Leeuw 1936;ASS;        Agropyretum littoralis
Scirpion maritimi;Dahl et Hadac 1941;VRB;      Scirpion maritimi
Bolboschoenetum maritimi;Van Langendonck 1931;ASS;        Bolboschoenetum maritimi
Eleocharitetum uniglumis;Almquist 1929 nom. conserv. propos.;ASS;        Eleocharitetum uniglumis
Saginetea maritimae;Westhoff et al. 1962;KLA;  Saginetea maritimae
Saginetalia maritimae;Westhoff et al. 1962;ORD;    Saginetalia maritimae
Saginion maritimae;Westhoff et al. 1962;VRB;      Saginion maritimae
Sagino-Cochlearietum danicae;Tx. et Gillner in Tx. 1957;ASS;        Sagino-Cochlearietum danicae
Centaurio litoralis-Saginetum nodosae;Diémont et al. 1940;ASS;        Centaurio litoralis-Saginetum nodosae
Crithmo-Staticetea;Br.-Bl. in Br.-Bl. et al. 1952;KLA;  Crithmo-Staticetea
Crithmo-Limonietalia;Br.-Bl. 1942;ORD;    Crithmo-Limonietalia
Crithmo-Limonion;Molinier 1934;VRB;      Crithmo-Limonion
Cardario-Brassicetum oleraceae;Walbrun 1986;ASS;        Cardario-Brassicetum oleraceae
VII. Tritt- und Flutrasen, Rasengesellschaften des Wirtschaftsgrünlandes, Graudünen, Halbtrockenrasen und Magerrasen, Hochgebirgsrasen;;FOR;VII. Tritt- und Flutrasen, Rasengesellschaften des Wirtschaftsgrünlandes, Graudünen, Halbtrockenrasen und Magerrasen, Hochgebirgsrasen
Polygono arenastri-Poetea annuae;Rivas-Martínez 1975 corr. Rivas-Martínez et al. 1991;KLA;  Polygono arenastri-Poetea annuae
Polygono arenastri-Poetea annuae-Basalgesellschaft;;ASS;        Polygono arenastri-Poetea annuae-Basalgesellschaft
Myosuro-Ranunculetum sardoi;(Diémont et al. 1940) Oberd. 1957;ZEH;          Myosuro-Ranunculetum sardoi
Polygono arenastri-Poetalia annuae;Tx. in Géhu et al. 1972 corr. Rivas-Martínez et al. 1991;ORD;    Polygono arenastri-Poetalia annuae
Matricario matricarioidis-Polygonion arenastri;Rivas-Martínez 1975 corr. Rivas-Martínez et al. 1991;VRB;      Matricario matricarioidis-Polygonion arenastri
Sclerochloo-Polygonetum arenastri;(Gams 1927) Soó ex Korneck 1969 corr. Mucina 1983;ASS;        Sclerochloo-Polygonetum arenastri
Matricario-Polygonetum arenastri;Th. Müller in Oberd. 1971;ASS;        Matricario-Polygonetum arenastri
Polygonetum calcati;Lohmeyer 1975;ASS;        Polygonetum calcati
Poo-Coronopodetum squamati;Gutte 1966;ASS;        Poo-Coronopodetum squamati
Saginion procumbentis;Tx. et Ohba in Géhu et al. 1972;VRB;      Saginion procumbentis
Sagino procumbentis-Bryetum argentei;Diémont et al. 1940;ASS;        Sagino procumbentis-Bryetum argentei
Rumici-Spergularietum rubrae;Hülbusch 1973;ASS;        Rumici-Spergularietum rubrae
Alchemillo-Poion supinae;Ellmauer et Mucina 1993;VRB;      Alchemillo-Poion supinae
Alchemillo-Poetum supinae;Aichinger 1933;ASS;        Alchemillo-Poetum supinae
VIII. Nitrophytische, ruderale Staudenvegetation, halbruderale Halbtrockenrasen, Saum- und Verlichtungsgesellschaften, Uferstaudengesellschaften;;FOR;VIII. Nitrophytische, ruderale Staudenvegetation, halbruderale Halbtrockenrasen, Saum- und Verlichtungsgesellschaften, Uferstaudengesellschaften
Galio-Urticetea;Passarge ex Kopecký 1969;KLA;  Galio-Urticetea
Galio-Urticetea-Basalgesellschaft;;ASS;        Galio-Urticetea-Basalgesellschaft
Convolvuletalia sepium;Tx. 1950 nom. invalid.;ORD;    Convolvuletalia sepium
Convolvuletalia sepium-Basalgesellschaft;;ASS;        Convolvuletalia sepium-Basalgesellschaft
Senecionion fluviatilis;Tx. 1950 nom. invalid.;VRB;      Senecionion fluviatilis
Senecionion fluviatilis-Basalgesellschaft;;ASS;        Senecionion fluviatilis-Basalgesellschaft
Soncho-Archangelicetum litoralis;Tx. 1937;ASS;        Soncho-Archangelicetum litoralis
Senecionetum fluviatilis;Th. Müller ex Straka in Mucina 1993;ASS;        Senecionetum fluviatilis
Cuscuto europaeae-Convolvuletum sepium;Tx. 1947;ASS;        Cuscuto europaeae-Convolvuletum sepium
Epilobio hirsuti-Convolvuletum sepium;Hilbig et al. 1972;ASS;        Epilobio hirsuti-Convolvuletum sepium
Convolvulo-Eupatorietum cannabini;Görs 1974 nom. invers. propos.;ZEH;          Convolvulo-Eupatorietum cannabini
Veronico longifoliae-Euphorbietum palustris;Korneck 1963;ASS;        Veronico longifoliae-Euphorbietum palustris
Veronico longifoliae-Euphorbietum lucidae;Balátová-Tulácková et Knezevic 1975;ASS;        Veronico longifoliae-Euphorbietum lucidae
Veronica longifolia-Filipendula ulmaria-Gesellschaft;;ASS;        Veronica longifolia-Filipendula ulmaria-Gesellschaft
Filipendula-Thalictrum flavum-Gesellschaft;;ASS;        Filipendula-Thalictrum flavum-Gesellschaft
Bidenti-Brassicetum nigrae;Allorge 1921;ASS;        Bidenti-Brassicetum nigrae
Glechometalia hederaceae;Tx. in Tx. et Brun-Hool 1975 nom. conserv. propos.;ORD;    Glechometalia hederaceae
Glechometalia hederaceae-Basalgesellschaft;;ASS;        Glechometalia hederaceae-Basalgesellschaft
Aegopodion podagrariae;Tx. 1967 nom. conserv. propos.;VRB;      Aegopodion podagrariae
Aegopodion podagrariae-Basalgesellschaft;;ASS;        Aegopodion podagrariae-Basalgesellschaft
Chaerophylletum bulbosi;Tx. 1937;ASS;        Chaerophylletum bulbosi
Phalarido-Petasitetum hybridi;Schwickerath 1933 nom. mutat. propos.;ASS;        Phalarido-Petasitetum hybridi
Chaerophylletum aurei;Oberd. 1957;ASS;        Chaerophylletum aurei
Chaerophylletum aromatici;Neuhäuslová-Novotná et al. 1969;ASS;        Chaerophylletum aromatici
Urtico-Aegopodietum;Tx. ex Görs 1968;ASS;        Urtico-Aegopodietum
Anthrisco nitidae-Aegopodietum podagrariae;Kopecký 1974;ZEH;          Anthrisco nitidae-Aegopodietum podagrariae
Euphorbietum strictae;(Oberd. et al. 1967) Th. Müller ex Mucina 1993;ASS;        Euphorbietum strictae
Geo urbani-Alliarion petiolatae;Lohmeyer et Oberd. in Görs et Th. Müller 1969;VRB;      Geo urbani-Alliarion petiolatae
Geo urbani-Alliarion petiolatae-Basalgesellschaft;;ASS;        Geo urbani-Alliarion petiolatae-Basalgesellschaft
Urtico-Cruciatetum laevipedis;Dierschke 1973;ZEH;          Urtico-Cruciatetum laevipedis
Sambucus ebulus-Gesellschaft;;ASS;        Sambucus ebulus-Gesellschaft
Cephalarietum pilosae;Jouanne 1927;ASS;        Cephalarietum pilosae
Alliario-Chaerophylletum temuli;Lohmeyer 1949;ASS;        Alliario-Chaerophylletum temuli
Chaerophyllo-Geranietum lucidi;Oberdorfer 1957;ZEH;          Chaerophyllo-Geranietum lucidi
Alliario-Cynoglossetum germanici;Géhu et al. 1972;ZEH;          Alliario-Cynoglossetum germanici
Urtico-Parietarietum officinalis;Klotz 1985;ZEH;          Urtico-Parietarietum officinalis
Torilidetum japonicae;Lohmeyer ex Görs et Th. Müller 1969;ASS;        Torilidetum japonicae
Epilobio-Geranietum robertiani;Lohmeyer ex Görs et Th. Müller 1969;ASS;        Epilobio-Geranietum robertiani
Rumicion alpini;Rübel ex Klika in Klika et Hadac 1944;VRB;      Rumicion alpini
Rumicetum alpini;Beger 1922;ASS;        Rumicetum alpini
Peucedanetum ostruthii;Rübel 1911;ASS;        Peucedanetum ostruthii
Senecionetum alpini;Bolleter 1921;ASS;        Senecionetum alpini
Artemisietea vulgaris;Lohmeyer et al. ex von Rochow 1951;KLA;  Artemisietea vulgaris
Artemisietea vulgaris-Basalgesellschaft;;ASS;        Artemisietea vulgaris-Basalgesellschaft
Cirsium arvense-Cirsium vulgare-Gesellschaft;;ZEH;          Cirsium arvense-Cirsium vulgare-Gesellschaft
Artemisietalia vulgaris;Lohmeyer in Tx. 1947;ORD;    Artemisietalia vulgaris
Arction lappae;Tx. 1937;VRB;      Arction lappae
Arction lappae-Basalgesellschaft;;ASS;        Arction lappae-Basalgesellschaft
Lamio albi-Ballotetum foetidae;Lohmeyer 1970;ASS;        Lamio albi-Ballotetum foetidae
Leonuro-Ballotetum nigrae;Slavnic 1951;ASS;        Leonuro-Ballotetum nigrae
Urtico urentis-Chenopodietum boni-henrici;Tx. 1937 nom. invers. propos.;ASS;        Urtico urentis-Chenopodietum boni-henrici
Arctio-Artemisietum vulgaris;Oberd. et al. ex Seybold et Th. Müller 1972;ASS;        Arctio-Artemisietum vulgaris
Hyoscyamo nigri-Conietum;Slavnic 1951 nom. invers. propos.;ASS;        Hyoscyamo nigri-Conietum
Onopordetalia acanthii;Br.-Bl. et Tx. ex Klika et Hadac 1944;ORD;    Onopordetalia acanthii
Onopordion acanthii;Br.-Bl. in Br.-Bl. et al. 1936;VRB;      Onopordion acanthii
Onopordion acanthii-Basalgesellschaft;;ASS;        Onopordion acanthii-Basalgesellschaft
Onopordetum acanthii;Libbert 1932;ASS;        Onopordetum acanthii
Resedo-Carduetum nutantis;Sissingh 1950;ASS;        Resedo-Carduetum nutantis
Cirsietum eriophori;Oberd. ex Th. Müller 1966;ASS;        Cirsietum eriophori
Lappulo echinatae-Cynoglossetum;Klika 1935;ASS;        Lappulo echinatae-Cynoglossetum
Carduetum acanthoidis;Felföldy 1942;ASS;        Carduetum acanthoidis
Dauco-Melilotion;Görs ex Rostanski et Gutte 1971;VRB;      Dauco-Melilotion
Dauco-Melilotion-Basalgesellschaft;;ASS;        Dauco-Melilotion-Basalgesellschaft
Tanaceto-Artemisietum;Sissingh 1950;ASS;        Tanaceto-Artemisietum
Cichorium intybus-Gesellschaft;;ZEH;          Cichorium intybus-Gesellschaft
Berteroetum incanae;Sissingh et Tideman in Sissingh 1950;ASS;        Berteroetum incanae
Dauco-Picridetum;Görs 1966;ASS;        Dauco-Picridetum
Melilotetum albo-officinalis;Sissingh 1950;ASS;        Melilotetum albo-officinalis
Glaucium flavum-Gesellschaft;;ASS;        Glaucium flavum-Gesellschaft
Poo compressae-Anthemidetum tinctoriae;Th. Müller et Görs ex Brandes 1986;ASS;        Poo compressae-Anthemidetum tinctoriae
Potentillo argenteae-Artemisietum absinthii;Falinski 1965;ASS;        Potentillo argenteae-Artemisietum absinthii
Agropyretalia intermedio-repentis;Oberd. et al. ex Th. Müller et Görs 1969;ORD;    Agropyretalia intermedio-repentis
Convolvulo-Agropyrion;Görs 1966;VRB;      Convolvulo-Agropyrion
Convolvulo-Agropyrion-Basalgesellschaft;;ASS;        Convolvulo-Agropyrion-Basalgesellschaft
Rubo caesii-Calamagrostietum epigeji;Coste 1985;ZEH;          Rubo caesii-Calamagrostietum epigeji
Elymo-Rubetum caesii;Dengler 1997;ZEH;          Elymo-Rubetum caesii
Convolvulo-Brometum inermis;Eliác 1979;ZEH;          Convolvulo-Brometum inermis
Convolvulo arvensis-Agropyretum repentis;Felföldy 1943 nom. invers. propos.;ZEH;          Convolvulo arvensis-Agropyretum repentis
Diplotaxio tenuifoliae-Agropyretum repentis;Philippi in Th. Müller et Görs 1969;ASS;        Diplotaxio tenuifoliae-Agropyretum repentis
Asparago officinalis-Chondrilletum junceae;Passarge 1978;ZEH;          Asparago officinalis-Chondrilletum junceae
Lepidietum drabae;Tímár 1950;ASS;        Lepidietum drabae
Falcario vulgaris-Agropyretum repentis;Th. Müller et Görs 1969;ASS;        Falcario vulgaris-Agropyretum repentis
Melico transsilvanicae-Agropyretum repentis;Th. Müller in Görs 1966;ASS;        Melico transsilvanicae-Agropyretum repentis
Tussilago farfara-Gesellschaft;;ASS;        Tussilago farfara-Gesellschaft
Petasitetum tomentosi;Steffen 1931;ASS;        Petasitetum tomentosi
Agropyro repentis-Rumicetum thyrsiflori;Passarge 1989;ASS;        Agropyro repentis-Rumicetum thyrsiflori
Trifolio-Geranietea sanguinei;Th. Müller 1962;KLA;  Trifolio-Geranietea sanguinei
Origanetalia vulgaris;Th. Müller 1961;ORD;    Origanetalia vulgaris
Geranion sanguinei;Tx. in Th. Müller 1961;VRB;      Geranion sanguinei
Geranion sanguinei-Basalgesellschaft;;ASS;        Geranion sanguinei-Basalgesellschaft
Geranio-Peucedanetum cervariae;(Kuhn 1937) Th. Müller 1961;ASS;        Geranio-Peucedanetum cervariae
Geranio-Peucedanetum cervariae s.str.;(Kuhn 1937) Th. Müller 1961;ZEH;          Geranio-Peucedanetum cervariae s.str.
Geranio-Dictamnetum;Wendelberger ex Th. Müller 1962 nom. invers. propos.;ZEH;          Geranio-Dictamnetum
Adonido-Peucedanetum cervariae;Passarge 1979;ZEH;          Adonido-Peucedanetum cervariae
Serratulo tinctoriae-Peucedanetum cervariae;Türk et Meierott 1992;ZEH;          Serratulo tinctoriae-Peucedanetum cervariae
Serratulo tinctoriae-Potentilletum albae;Türk et Meierott 1992;ZEH;          Serratulo tinctoriae-Potentilletum albae
Bupleuro longifolii-Laserpitietum latifolii;Th. Müller in Oberd. 1978;ASS;        Bupleuro longifolii-Laserpitietum latifolii
Trifolio-Astragaletum ciceri;Reichhoff in Hilbig et al. 1982;ASS;        Trifolio-Astragaletum ciceri
Geranio-Anemonetum sylvestris;Th. Müller 1961;ASS;        Geranio-Anemonetum sylvestris
Campanulo bononiensis-Vicietum tenuifoliae;Krausch in Th. Müller 1962;ASS;        Campanulo bononiensis-Vicietum tenuifoliae
Geranio-Trifolietum alpestris;Th. Müller 1962;ASS;        Geranio-Trifolietum alpestris
Teucrio-Polygonatetum odorati;Korneck 1974;ASS;        Teucrio-Polygonatetum odorati
Trifolion medii;Th. Müller 1962;VRB;      Trifolion medii
Trifolion medii-Basalgesellschaft;;ASS;        Trifolion medii-Basalgesellschaft
Trifolio medii-Agrimonietum;Th. Müller 1962;ASS;        Trifolio medii-Agrimonietum
Agrimonio-Vicietum cassubicae;Passarge 1967 nom. invers. propos.;ASS;        Agrimonio-Vicietum cassubicae
Trifolio medii-Melampyretum nemorosi;Dierschke 1973;ASS;        Trifolio medii-Melampyretum nemorosi
Vicietum sylvaticae;Oberd. et Th. Müller ex Th. Müller 1962;ASS;        Vicietum sylvaticae
Knautietum dipsacifoliae;Oberd. ex Th. Müller 1978 corr. Oberd. et Th. Müller 1990;ASS;        Knautietum dipsacifoliae
Melampyro-Holcetalia mollis;Passarge 1979;ORD;    Melampyro-Holcetalia mollis
Melampyrion pratensis;Passarge 1979;VRB;      Melampyrion pratensis
Teucrietum scorodoniae;Jouanne ex Pott 1995;ASS;        Teucrietum scorodoniae
Melampyrum pratense-Holcus mollis-Gesellschaft;;ASS;        Melampyrum pratense-Holcus mollis-Gesellschaft
Lathyro linifolii-Melampyretum pratensis s.str.;Passarge 1967;ZEH;          Lathyro linifolii-Melampyretum pratensis s.str.
Campanulo-Teucrietum scorodoniae;R. Knapp 1976;ASS;        Campanulo-Teucrietum scorodoniae
Teucrio-Centaureetum nemoralis;Th. Müller 1961;ASS;        Teucrio-Centaureetum nemoralis
Trifolio-Vicietum orobi;Rivas-Martínez et Mayor ex Oberd. 1978;ASS;        Trifolio-Vicietum orobi
Epilobietea angustifolii;Tx. et Preising ex von Rochow 1951;KLA;  Epilobietea angustifolii
Epilobietea angustifolii-Basalgesellschaft;;ASS;        Epilobietea angustifolii-Basalgesellschaft
Calamagrostis epigejos-Gesellschaft;;ZEH;          Calamagrostis epigejos-Gesellschaft
Epilobium angustifolium-Calamagrostis arundinacea-Gesellschaft;;ZEH;          Epilobium angustifolium-Calamagrostis arundinacea-Gesellschaft
Atropetalia;Vlieger 1937;ORD;    Atropetalia
Carici piluliferae-Epilobion angustifolii;Tx. 1950 nom. invalid.;VRB;      Carici piluliferae-Epilobion angustifolii
Epilobio-Digitalietum purpureae;Schwickerath 1944;ASS;        Epilobio-Digitalietum purpureae
Senecioni-Epilobietum angustifolii;Hueck 1931;ASS;        Senecioni-Epilobietum angustifolii
Digitali ambiguae-Calamagrostietum arundinaceae;Sillinger 1933;ASS;        Digitali ambiguae-Calamagrostietum arundinaceae
Corydalido claviculatae-Epilobietum angustifolii;Hülbusch et Tx. 1968;ASS;        Corydalido claviculatae-Epilobietum angustifolii
Atropion;Br.-Bl. ex Aichinger 1933;VRB;      Atropion
Epilobio-Atropetum bellae-donnae;Tx. 1931;ASS;        Epilobio-Atropetum bellae-donnae
Digitali luteae-Atropetum;Oberd. 1957;ZEH;          Digitali luteae-Atropetum
Arctietum nemorosi;Tx. 1950 nom. invalid.;ASS;        Arctietum nemorosi
Betulo-Adenostyletea;Br.-Bl. et Tx. 1943 nom. invalid.;KLA;  Betulo-Adenostyletea
Adenostyletalia;G. Br.-Bl. et J. Br.-Bl. 1931;ORD;    Adenostyletalia
Adenostylion alliariae;Br.-Bl. 1926;VRB;      Adenostylion alliariae
Salicetum appendiculatae;Oberd. 1957;ASS;        Salicetum appendiculatae
Alnetum viridis;Br.-Bl. 1918;ASS;        Alnetum viridis
Cicerbitetum alpinae;Bolleter 1921;ASS;        Cicerbitetum alpinae
Salicetum waldsteinianae;Beger 1922;ASS;        Salicetum waldsteinianae
Luzuletum desvauxii;Issler 1936;ASS;        Luzuletum desvauxii
Allium victoralis-Gesellschaft;;ASS;        Allium victoralis-Gesellschaft
Calamagrostion villosae;Pawlowski et al. 1928;VRB;      Calamagrostion villosae
Centaureo montanae-Calamagrostietum arundinaceae;J. Bartsch et M. Bartsch 1940;ASS;        Centaureo montanae-Calamagrostietum arundinaceae
Athyrietum distentifolii;Nordhagen 1928 nom. conserv. propos.;ASS;        Athyrietum distentifolii
Hieracium aurantiacum-Calamagrostis villosa-Gesellschaft;;ASS;        Hieracium aurantiacum-Calamagrostis villosa-Gesellschaft
Ranunculus platanifolius-Calamagrostis villosa-Gesellschaft;;ASS;        Ranunculus platanifolius-Calamagrostis villosa-Gesellschaft
IX. Zwergstrauch-Gesellschaften und Borstgras-Rasen;;FOR;IX. Zwergstrauch-Gesellschaften und Borstgras-Rasen
Salicetea herbaceae;Br.-Bl. 1948;KLA;  Salicetea herbaceae
Salicetalia herbaceae;Br.-Bl. in Br.-Bl. et Jenny 1926;ORD;    Salicetalia herbaceae
Salicion herbaceae;Br.-Bl. in Br.-Bl. et Jenny 1926;VRB;      Salicion herbaceae
Salicetum herbaceae;Rübel 1911;ASS;        Salicetum herbaceae
Luzuletum alpinopilosae;Br.-Bl. in Br.-Bl. et Jenny 1926;ASS;        Luzuletum alpinopilosae
Poo-Cerastietum cerastioidis;(Söyrinki 1954) Oberdorfer 1957;ASS;        Poo-Cerastietum cerastioidis
Gnaphalium supinum-Gesellschaft;;ASS;        Gnaphalium supinum-Gesellschaft
Polytrichetum sexangularis;Frey 1922;ASS;        Polytrichetum sexangularis
Calluno-Ulicetea;Br.-Bl. et Tx. ex Westhoff et al. 1946;KLA;  Calluno-Ulicetea
Deschampsia flexuosa-Gesellschaft;;ASS;        Deschampsia flexuosa-Gesellschaft
Nardetalia;Oberd. ex Preising 1949;ORD;    Nardetalia
Violion caninae;Schwickerath 1944;VRB;      Violion caninae
